category,journal,num_click
eng,D,164
tra,B,762
eng,D,220
tra,B,639
spo,A,894
soc,E,348
pol,C,521
spo,E,563
fin,B,250
pol,A,620
soc,E,511
pol,C,270
fin,A,390
spo,B,587
tra,E,500
fin,B,215
eng,E,638
tra,B,767
eng,D,311
spo,D,87
fin,A,397
tra,C,485
eng,D,851
pol,E,360
eng,D,361
spo,C,482
eng,A,435
eng,D,292
spo,C,355
tra,C,548
pol,C,234
spo,A,675
soc,B,531
tra,C,423
fin,E,570
spo,B,512
spo,C,603
fin,C,308
pol,D,565
eng,D,756
spo,C,226
spo,B,477
eng,C,388
soc,C,601
soc,D,605
eng,E,523
pol,D,415
tra,A,358
pol,C,835
pol,E,329
soc,E,302
soc,A,92
spo,A,150
soc,B,244
soc,E,394
soc,A,579
eng,A,660
pol,A,297
fin,B,503
spo,E,168
tra,A,765
spo,B,672
eng,B,613
tra,D,464
pol,B,640
spo,C,408
fin,C,176
spo,A,431
fin,C,348
pol,C,759
pol,E,407
pol,E,576
spo,D,621
fin,A,666
tra,D,839
fin,E,325
spo,D,852
eng,D,90
soc,E,863
soc,C,330
fin,A,599
eng,E,474
pol,B,449
pol,A,244
fin,C,190
soc,C,238
spo,D,485
pol,B,595
pol,B,436
tra,D,520
tra,E,573
spo,E,729
soc,B,346
spo,E,584
fin,D,636
pol,B,347
spo,B,684
tra,A,214
soc,D,331
soc,A,531
soc,A,577
spo,E,355
fin,E,480
soc,B,478
eng,A,649
eng,A,560
pol,C,566
tra,E,612
soc,D,519
tra,B,516
soc,B,618
pol,E,907
tra,E,770
fin,C,503
soc,D,535
soc,C,697
soc,A,498
tra,E,352
tra,A,588
pol,D,213
tra,C,481
soc,B,146
eng,C,308
tra,E,906
eng,A,381
tra,A,279
tra,D,323
pol,E,731
pol,C,485
pol,E,653
spo,C,452
soc,A,691
tra,A,513
spo,E,637
pol,B,689
pol,A,558
spo,B,356
soc,E,914
fin,C,472
eng,A,697
soc,D,411
fin,D,348
tra,E,582
fin,C,847
eng,E,314
pol,A,842
spo,B,486
soc,E,298
pol,D,488
eng,D,487
eng,B,618
pol,C,593
tra,D,346
eng,A,204
eng,B,1096
tra,A,444
pol,A,588
eng,A,621
fin,C,652
tra,C,539
spo,E,490
soc,E,731
fin,A,506
fin,B,351
eng,E,651
pol,A,532
fin,C,228
fin,D,408
tra,B,772
eng,C,661
spo,B,594
tra,B,555
spo,C,371
eng,B,0
